marca, modelo, min_km, max_km, min_precio, max_precio, transmicion, uso, consumo, tamaño
Toyota,Corolla,50000,100000,25000,automática,urbano,medio,Sedán
Honda,Civic,20000,60000,30000,manual,familiar,bajo,Sedán
Ford,Escape,80000,120000,28000,automática,todo terreno,alto,SUV
Chevrolet,Malibu,60000,110000,24000,manual,urbano,medio,Sedán
Nissan,Altima,30000,70000,26000,automática,familiar,bajo,Sedán
Jeep,Wrangler,90000,150000,35000,manual,todo terreno,alto,SUV
BMW,X5,15000,40000,55000,automática,viajes de larga distancia,alto,SUV
Audi,A4,25000,50000,45000,automática,urbano,bajo,Sedán
Mazda,CX-5,70000,120000,22000,manual,familiar,medio,SUV
Hyundai,Elantra,40000,80000,21000,automática,urbano,medio,Sedán
Kia,Sorento,50000,90000,25000,manual,familiar,medio,SUV
Tesla,Model 3,5000,30000,60000,automática,urbano,muy bajo,Sedán
Volkswagen,Golf,60000,110000,19000,manual,urbano,bajo,Hatchback
Chevrolet,Traverse,85000,130000,27000,automática,viajes de larga distancia,medio,SUV
Ford,F-150,100000,200000,40000,manual,cargamento pesado,muy alto,Pick-up
Ram,1500,30000,70000,45000,automática,cargamento pesado,muy alto,Pick-up
Toyota,Highlander,15000,50000,50000,automática,familiar,medio,SUV
Porsche,911,10000,30000,120000,manual,deportivo,alto,Coupé
Subaru,Outback,60000,110000,32000,manual,viajes de larga distancia,medio,SUV
Land Rover,Defender,20000,60000,70000,automática,todo terreno,muy alto,SUV
Dodge,Charger,85000,120000,27000,manual,deportivo,alto,Sedán
Mini,Cooper,20000,50000,23000,automática,urbano,bajo,Hatchback
Fiat,500X,40000,80000,19000,manual,urbano,medio,SUV
Mazda,MX-5,10000,40000,35000,manual,deportivo,alto,Coupé
GMC,Sierra 1500,30000,90000,43000,automática,cargamento pesado,muy alto,Pick-up
Suzuki,Jimny,50000,100000,23000,manual,todo terreno,alto,SUV
Toyota,RAV4,30000,70000,33000,automática,familiar,medio,SUV
Chevrolet,Colorado,75000,130000,28000,manual,cargamento pesado,alto,Pick-up
Mercedes-Benz,E-Class,20000,50000,70000,automática,viajes de larga distancia,alto,Sedán
Lexus,RX,25000,60000,55000,automática,familiar,bajo,SUV
Honda,CR-V,70000,110000,27000,manual,familiar,medio,SUV
Nissan,Z,5000,30000,45000,manual,deportivo,alto,Coupé
Ford,Bronco,15000,50000,48000,automática,todo terreno,alto,SUV
Tesla,Model X,5000,30000,90000,automática,familiar,muy bajo,SUV
Hyundai,Tucson,40000,90000,25000,manual,familiar,medio,SUV
Chevrolet,Camaro,15000,45000,50000,manual,deportivo,alto,Coupé
